transaction_id,customer_id,merchant_id,device_id,transaction_ts,amount,currency,payment_channel,transaction_status,decline_reason,payment_network,card_type,updated_at
T001,C001,M001,D001,2025-06-01 08:12:00,6.75,USD,in_store,settled,,VISA,debit,2025-06-01 09:00:00
T002,C002,M002,D003,2025-06-01 10:15:00,54.20,USD,in_store,settled,,MASTERCARD,credit,2025-06-01 10:45:00
T003,C003,M003,D004,2025-06-01 11:05:00,2.50,USD,in_app,declined,insufficient_funds,VISA,debit,2025-06-01 11:05:30
T004,C001,M002,D002,2025-06-01 12:30:00,81.40,USD,in_app,authorized,,AMEX,credit,2025-06-01 12:31:00
T005,C004,M001,D005,2025-06-01 14:02:00,9.25,USD,in_store,settled,,MASTERCARD,debit,2025-06-01 15:10:00
T006,C005,M004,D006,2025-06-01 16:45:00,24.99,CAD,web,settled,,VISA,credit,2025-06-04 09:00:00
T007,C006,M005,D007,2025-06-02 07:40:00,35.00,GBP,in_app,refunded,,VISA,credit,2025-06-02 18:00:00
T008,C002,M001,D003,2025-06-02 08:20:00,5.90,USD,in_store,settled,,MASTERCARD,credit,2025-06-02 09:05:00
T009,C003,M002,D004,2025-06-02 09:10:00,108.30,USD,web,declined,suspected_fraud,MASTERCARD,credit,2025-06-02 09:10:30
T010,C001,M003,D001,2025-06-02 10:55:00,3.00,USD,in_app,settled,,VISA,debit,2025-06-02 11:20:00
T011,C004,M002,D005,2025-06-02 13:05:00,42.65,USD,in_store,settled,,MASTERCARD,debit,2025-06-02 14:00:00
T012,C005,M004,D006,2025-06-02 15:30:00,18.50,CAD,web,authorized,,VISA,credit,2025-06-02 15:31:00
T013,C006,M005,D007,2025-06-03 06:50:00,12.00,GBP,in_app,settled,,VISA,debit,2025-06-03 08:00:00
T014,C003,M001,D004,2025-06-03 08:25:00,7.10,USD,in_store,declined,do_not_honor,VISA,credit,2025-06-03 08:25:30
T015,C002,M003,D003,2025-06-03 09:40:00,2.50,USD,in_app,settled,,MASTERCARD,credit,2025-06-03 10:10:00
T016,C001,M001,D002,2025-06-03 11:15:00,4.85,USD,in_store,refunded,,AMEX,credit,2025-06-03 17:45:00
T017,C004,M002,D005,2025-06-03 17:20:00,63.75,USD,web,authorized,,MASTERCARD,debit,2025-06-03 17:21:00
T018,C005,M004,D006,2025-06-03 18:05:00,31.20,CAD,in_app,declined,insufficient_funds,VISA,debit,2025-06-03 18:05:30
